ALL_Sec,ALL_Prim,Comf_Sec,Comf_Prim,Low_Sec,Eco_Sec,Eco_Prim,Bus_Sec,Bus_Prim,Russia,Moscow,CPI,timestamp
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-07
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-08
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-09
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-10
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-11
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-12
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-13
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-14
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-15
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-16
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-17
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-18
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-19
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-20
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-21
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-22
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-23
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-24
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-25
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-26
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-27
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-28
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-29
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",317.7,2010-04-30
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-01
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-02
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-03
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-04
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-05
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-06
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-07
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-08
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-09
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-10
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-11
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-12
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-13
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-14
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-15
158915.15,131218.11,154024.02,114021.5,132032.92,127598.3,96077.11,274082.96,210872.09,"18,637.50","33,358.00",319.8,2010-05-16
